      table_name       |        column_name         |          data_type          
-----------------------+----------------------------+-----------------------------
 active_authorities    | address                    | character varying
 active_authorities    | added_at                   | timestamp without time zone
 active_authorities    | added_at_height            | bigint
 address_transactions  | address                    | character varying
 address_transactions  | tx_hash                    | character varying
 address_transactions  | height                     | bigint
 address_transactions  | created_at                 | timestamp without time zone
 authority_accounts    | address                    | character varying
 authority_accounts    | added_at                   | timestamp without time zone
 authority_accounts    | added_by                   | character varying
 authority_accounts    | added_at_height            | bigint
 authority_accounts    | active                     | boolean
 authority_accounts    | removed_at                 | timestamp without time zone
 authority_accounts    | removed_by                 | character varying
 authority_accounts    | source                     | character varying
 authority_accounts    | updated_at                 | timestamp without time zone
 authority_accounts    | created_at                 | timestamp without time zone
 authority_actions     | id                         | integer
 authority_actions     | height                     | bigint
 authority_actions     | tx_hash                    | character varying
 authority_actions     | authority_addr             | character varying
 authority_actions     | validator_addr             | character varying
 authority_actions     | action_type                | character varying
 authority_actions     | old_value                  | text
 authority_actions     | new_value                  | text
 authority_actions     | moniker                    | character varying
 authority_actions     | timestamp                  | timestamp without time zone
 authority_actions     | success                    | boolean
 authority_actions     | error_message              | text
 authority_actions     | created_at                 | timestamp without time zone
 authority_activity    | authority_addr             | character varying
 authority_activity    | total_actions              | bigint
 authority_activity    | validators_added           | bigint
 authority_activity    | validators_removed         | bigint
 authority_activity    | power_changes              | bigint
 authority_activity    | authority_updates          | bigint
 authority_activity    | last_action                | timestamp without time zone
 authority_activity    | first_action               | timestamp without time zone
 authority_state       | height                     | bigint
 authority_state       | address                    | character varying
 authority_sync_state  | id                         | integer
 authority_sync_state  | last_sync_height           | bigint
 authority_sync_state  | last_sync_time             | timestamp without time zone
 authority_sync_state  | updated_at                 | timestamp without time zone
 balances              | address                    | character varying
 balances              | denom                      | character varying
 balances              | amount                     | text
 balances              | height                     | bigint
 balances              | updated_at                 | timestamp without time zone
 balances              | created_at                 | timestamp without time zone
 bank_transfers        | id                         | bigint
 bank_transfers        | tx_hash                    | character varying
 bank_transfers        | msg_index                  | integer
 bank_transfers        | height                     | bigint
 bank_transfers        | from_address               | character varying
 bank_transfers        | to_address                 | character varying
 bank_transfers        | amount                     | text
 bank_transfers        | denom                      | character varying
 bank_transfers        | amount_value               | numeric
 bank_transfers        | timestamp                  | timestamp without time zone
 bank_transfers        | created_at                 | timestamp without time zone
 blocks                | height                     | bigint
 blocks                | hash                       | character varying
 blocks                | time                       | timestamp without time zone
 blocks                | proposer_address           | character varying
 blocks                | tx_count                   | integer
 blocks                | created_at                 | timestamp without time zone
 chain_stats           | total_blocks               | bigint
 chain_stats           | total_transactions         | bigint
 chain_stats           | successful_txs             | bigint
 chain_stats           | active_validators          | bigint
 chain_stats           | active_authorities         | bigint
 chain_stats           | total_power                | numeric
 chain_stats           | total_authority_actions    | bigint
 chain_stats           | active_contracts           | bigint
 chain_stats           | total_wasm_executions      | bigint
 chain_stats           | total_instantiations       | bigint
 chain_stats           | cw20_transfers_count       | bigint
 chain_stats           | bank_transfers_count       | bigint
 chain_stats           | latest_height              | bigint
 chain_stats           | generated_at               | timestamp with time zone
 contract_activity     | contract_address           | character varying
 contract_activity     | label                      | text
 contract_activity     | code_id                    | bigint
 contract_activity     | creator                    | character varying
 contract_activity     | total_executions           | bigint
 contract_activity     | last_execution             | timestamp without time zone
 contract_activity     | unique_users               | bigint
 cw20_address_activity | contract_address           | character varying
 cw20_address_activity | address                    | character varying
 cw20_address_activity | transfers_sent             | bigint
 cw20_address_activity | total_sent                 | numeric
